col	row	z
0	0	1.8
1	0	1.71
2	0	1.622068966
3	0	1.536206897
4	0	1.452413793
5	0	1.370689655
6	0	1.291034483
7	0	1.213448276
8	0	1.137931034
9	0	1.064482759
10	0	0.993103448
11	0	0.923793103
12	0	0.856551724
13	0	0.79137931
14	0	0.728275862
15	0	0.667241379
16	0	0.608275862
17	0	0.55137931
18	0	0.496551724
19	0	0.443793103
20	0	0.393103448
21	0	0.344482759
22	0	0.297931034
23	0	0.253448276
24	0	0.211034483
25	0	0.170689655
26	0	0.132413793
27	0	0.096206897
28	0	0.062068966
29	0	0.03
0	1	1.8
1	1	1.71
2	1	1.622068966
3	1	1.536206897
4	1	1.452413793
5	1	1.370689655
6	1	1.291034483
7	1	1.213448276
8	1	1.137931034
9	1	1.064482759
10	1	0.993103448
11	1	0.923793103
12	1	0.856551724
13	1	0.79137931
14	1	0.728275862
15	1	0.667241379
16	1	0.608275862
17	1	0.55137931
18	1	0.496551724
19	1	0.443793103
20	1	0.393103448
21	1	0.344482759
22	1	0.297931034
23	1	0.253448276
24	1	0.211034483
25	1	0.170689655
26	1	0.132413793
27	1	0.096206897
28	1	0.062068966
29	1	0.03
0	2	1.8
1	2	1.71
2	2	1.622068966
3	2	1.536206897
4	2	1.452413793
5	2	1.370689655
6	2	1.291034483
7	2	1.213448276
8	2	1.137931034
9	2	1.064482759
10	2	0.993103448
11	2	0.923793103
12	2	0.856551724
13	2	0.79137931
14	2	0.728275862
15	2	0.667241379
16	2	0.608275862
17	2	0.55137931
18	2	0.496551724
19	2	0.443793103
20	2	0.393103448
21	2	0.344482759
22	2	0.297931034
23	2	0.253448276
24	2	0.211034483
25	2	0.170689655
26	2	0.132413793
27	2	0.096206897
28	2	0.062068966
29	2	0.03
0	3	1.8
1	3	1.71
2	3	1.622068966
3	3	1.536206897
4	3	1.452413793
5	3	1.370689655
6	3	1.291034483
7	3	1.213448276
8	3	1.137931034
9	3	1.064482759
10	3	0.993103448
11	3	0.923793103
12	3	0.856551724
13	3	0.79137931
14	3	0.728275862
15	3	0.667241379
16	3	0.608275862
17	3	0.55137931
18	3	0.496551724
19	3	0.443793103
20	3	0.393103448
21	3	0.344482759
22	3	0.297931034
23	3	0.253448276
24	3	0.211034483
25	3	0.170689655
26	3	0.132413793
27	3	0.096206897
28	3	0.062068966
29	3	0.03
0	4	1.8
1	4	1.71
2	4	1.622068966
3	4	1.536206897
4	4	1.452413793
5	4	1.370689655
6	4	1.291034483
7	4	1.213448276
8	4	1.137931034
9	4	1.064482759
10	4	0.993103448
11	4	0.923793103
12	4	0.856551724
13	4	0.79137931
14	4	0.728275862
15	4	0.667241379
16	4	0.608275862
17	4	0.55137931
18	4	0.496551724
19	4	0.443793103
20	4	0.393103448
21	4	0.344482759
22	4	0.297931034
23	4	0.253448276
24	4	0.211034483
25	4	0.170689655
26	4	0.132413793
27	4	0.096206897
28	4	0.062068966
29	4	0.03
0	5	1.8
1	5	1.71
2	5	1.622068966
3	5	1.536206897
4	5	1.452413793
5	5	1.370689655
6	5	1.291034483
7	5	1.213448276
8	5	1.137931034
9	5	1.064482759
10	5	0.993103448
11	5	0.923793103
12	5	0.856551724
13	5	0.79137931
14	5	0.728275862
15	5	0.667241379
16	5	0.608275862
17	5	0.55137931
18	5	0.496551724
19	5	0.443793103
20	5	0.393103448
21	5	0.344482759
22	5	0.297931034
23	5	0.253448276
24	5	0.211034483
25	5	0.170689655
26	5	0.132413793
27	5	0.096206897
28	5	0.062068966
29	5	0.03
0	6	1.8
1	6	1.71
2	6	1.622068966
3	6	1.536206897
4	6	1.452413793
5	6	1.370689655
6	6	1.291034483
7	6	1.213448276
8	6	1.137931034
9	6	1.064482759
10	6	0.993103448
11	6	0.923793103
12	6	0.856551724
13	6	0.79137931
14	6	0.728275862
15	6	0.667241379
16	6	0.608275862
17	6	0.55137931
18	6	0.496551724
19	6	0.443793103
20	6	0.393103448
21	6	0.344482759
22	6	0.297931034
23	6	0.253448276
24	6	0.211034483
25	6	0.170689655
26	6	0.132413793
27	6	0.096206897
28	6	0.062068966
29	6	0.03
0	7	1.8
1	7	1.71
2	7	1.622068966
3	7	1.536206897
4	7	1.452413793
5	7	1.370689655
6	7	1.291034483
7	7	1.213448276
8	7	1.137931034
9	7	1.064482759
10	7	0.993103448
11	7	0.923793103
12	7	0.856551724
13	7	0.79137931
14	7	0.728275862
15	7	0.667241379
16	7	0.608275862
17	7	0.55137931
18	7	0.496551724
19	7	0.443793103
20	7	0.393103448
21	7	0.344482759
22	7	0.297931034
23	7	0.253448276
24	7	0.211034483
25	7	0.170689655
26	7	0.132413793
27	7	0.096206897
28	7	0.062068966
29	7	0.03
0	8	1.8
1	8	1.71
2	8	1.622068966
3	8	1.536206897
4	8	1.452413793
5	8	1.370689655
6	8	1.291034483
7	8	1.213448276
8	8	1.137931034
9	8	1.064482759
10	8	0.993103448
11	8	0.923793103
12	8	0.856551724
13	8	0.79137931
14	8	0.728275862
15	8	0.667241379
16	8	0.608275862
17	8	0.55137931
18	8	0.496551724
19	8	0.443793103
